age,annual_income,monthly_expenses,savings,existing_loan,loan_amount,credit_score,investment_experience,risk_tolerance,dependents,employment_type,emergency_fund_months,investment_goal,monthly_surplus,debt_to_income_ratio,recommendation
23,590042,36240,2290783,Yes,513010,384,Intermediate,Low,5,Business,12,Retirement,12930,0.87,Avoid Loan
58,878524,20401,1761531,Yes,688983,635,Expert,High,0,Salaried,11,Retirement,52809,0.78,Avoid Loan
33,2459611,46983,1023394,No,0,672,Beginner,High,2,Business,5,Wealth Creation,157984,0.0,Save
35,514419,23233,1993336,No,0,606,Beginner,High,0,Salaried,10,House,19635,0.0,Save
43,900634,45592,1585890,Yes,944358,658,Intermediate,Low,2,Business,6,House,29460,1.05,Avoid Loan
35,1698942,104532,398820,No,0,355,Beginner,Medium,4,Self-Employed,6,Retirement,37046,0.0,Avoid Loan
30,2984654,144284,977339,Yes,2058172,449,Intermediate,Medium,5,Business,12,Wealth Creation,104437,0.69,Avoid Loan
46,1125665,79615,1043143,No,0,865,Intermediate,High,1,Self-Employed,11,Education,14190,0.0,Save
42,1036996,47362,819706,Yes,983079,410,Beginner,Medium,5,Self-Employed,10,Retirement,39054,0.95,Avoid Loan
53,413095,18225,79516,Yes,836565,858,Beginner,Low,2,Salaried,8,Retirement,16199,2.03,Avoid Loan
28,893477,26916,335570,No,0,783,Expert,High,1,Salaried,9,Retirement,47540,0.0,Invest
57,1999179,147044,91293,Yes,671317,688,Beginner,Medium,5,Business,4,Wealth Creation,19554,0.34,Save
54,1311616,94391,2073434,No,0,367,Intermediate,Medium,1,Salaried,4,Education,14910,0.0,Avoid Loan
53,452497,23929,276080,No,0,843,Intermediate,High,4,Business,10,Education,13779,0.0,Save
41,910903,66465,504596,Yes,905191,464,Beginner,Low,2,Self-Employed,0,House,9443,0.99,Avoid Loan
56,716181,28959,2385370,Yes,2346992,876,Expert,Low,1,Business,1,Retirement,30722,3.28,Avoid Loan
56,1198996,15764,815669,No,0,393,Intermediate,Medium,2,Business,5,House,84152,0.0,Avoid Loan
51,1976314,77538,847702,No,0,409,Beginner,Low,3,Salaried,11,Education,87154,0.0,Avoid Loan
26,1561288,57960,199582,Yes,251284,633,Beginner,High,0,Business,5,Education,72147,0.16,Save
30,1288190,21672,1090916,No,0,658,Beginner,High,2,Self-Employed,2,Education,85677,0.0,Save
40,785391,35194,1142260,Yes,1247618,493,Expert,High,1,Salaried,2,Education,30255,1.59,Avoid Loan
32,987955,66936,243210,Yes,2431679,351,Intermediate,Medium,2,Business,11,Retirement,15393,2.46,Avoid Loan
59,2124081,80293,574423,No,0,505,Intermediate,Medium,2,Business,3,House,96713,0.0,Avoid Loan
51,1765851,61551,2390210,No,0,724,Beginner,High,2,Salaried,4,Education,85603,0.0,Save
32,1120274,34261,1962260,No,0,404,Intermediate,Low,0,Salaried,4,Retirement,59095,0.0,Avoid Loan
57,891304,21074,1161749,No,0,584,Expert,High,3,Salaried,9,Wealth Creation,53201,0.0,Avoid Loan
54,2551637,86982,2264620,Yes,2263731,621,Beginner,Medium,1,Self-Employed,1,Wealth Creation,125654,0.89,Avoid Loan
58,303140,17129,100965,Yes,412737,443,Beginner,Low,1,Business,7,House,8132,1.36,Avoid Loan
46,2926998,122647,590799,No,0,551,Beginner,Low,0,Business,0,Retirement,121269,0.0,Avoid Loan
29,1540570,48934,611062,No,0,708,Expert,Medium,4,Self-Employed,5,Education,79446,0.0,Save
46,1771409,37547,587417,Yes,1416433,654,Intermediate,High,0,Salaried,2,Retirement,110070,0.8,Avoid Loan
44,454223,15296,308376,Yes,1195206,526,Beginner,High,5,Business,10,House,22555,2.63,Avoid Loan
33,1648513,37670,1961327,Yes,2440437,618,Expert,Low,2,Salaried,7,House,99706,1.48,Avoid Loan
50,441683,24877,167837,Yes,1397294,854,Intermediate,Medium,0,Salaried,4,Retirement,11929,3.16,Avoid Loan
47,2783714,204567,1071655,No,0,889,Beginner,Low,0,Self-Employed,0,House,27409,0.0,Save
36,2445118,166881,1127839,Yes,1462723,441,Beginner,Low,3,Business,6,House,36878,0.6,Avoid Loan
32,981998,35199,190400,No,0,439,Intermediate,High,0,Business,10,House,46634,0.0,Avoid Loan
34,2027539,138514,2269741,Yes,637682,808,Beginner,High,0,Salaried,0,Retirement,30447,0.31,Save
25,785167,40475,1616551,Yes,389901,482,Beginner,Medium,5,Business,12,Wealth Creation,24955,0.5,Avoid Loan
42,753575,17467,589338,No,0,707,Beginner,Low,1,Self-Employed,4,House,45330,0.0,Save
43,2500466,59764,2304749,No,0,574,Beginner,Medium,4,Salaried,3,Retirement,148608,0.0,Avoid Loan
56,480355,27291,592322,Yes,2196228,670,Beginner,Medium,2,Business,10,Retirement,12738,4.57,Avoid Loan
54,2629558,133067,1658845,No,0,474,Beginner,High,1,Salaried,4,House,86062,0.0,Avoid Loan
46,2903371,159385,1448203,No,0,774,Intermediate,High,1,Self-Employed,9,House,82562,0.0,Invest
38,656744,33202,2029908,No,0,672,Intermediate,High,5,Self-Employed,11,Wealth Creation,21526,0.0,Save
45,1368384,58724,1227183,Yes,515698,427,Beginner,Medium,0,Business,2,Retirement,55308,0.38,Avoid Loan
51,410296,15204,1096268,No,0,756,Expert,Low,1,Salaried,2,Retirement,18987,0.0,Save
23,1587494,107194,746880,Yes,2089107,535,Intermediate,High,4,Business,7,Wealth Creation,25097,1.32,Avoid Loan
21,1835484,46878,927894,No,0,873,Intermediate,Low,4,Salaried,11,Education,106079,0.0,Invest
49,2074287,135492,835846,Yes,1919084,770,Beginner,Medium,2,Business,0,House,37365,0.93,Avoid Loan
49,1044438,26928,21206,No,0,578,Beginner,Low,5,Self-Employed,10,Retirement,60108,0.0,Avoid Loan
51,2254929,36200,1132701,Yes,1021685,375,Intermediate,High,1,Self-Employed,7,House,151710,0.45,Avoid Loan
21,2399433,21272,1352521,Yes,1191444,825,Beginner,Medium,3,Self-Employed,11,Retirement,178680,0.5,Avoid Loan
22,1898350,81298,1656076,Yes,1069300,886,Beginner,Medium,4,Self-Employed,0,House,76897,0.56,Avoid Loan
40,1643324,15746,2083008,Yes,1815220,395,Beginner,Medium,3,Business,6,Wealth Creation,121197,1.1,Avoid Loan
21,2574544,62534,708442,Yes,1085284,657,Beginner,Medium,3,Self-Employed,3,Wealth Creation,152011,0.42,Save
59,985044,58458,2079897,No,0,479,Beginner,Low,4,Salaried,9,Retirement,23629,0.0,Avoid Loan
58,1800506,129617,171077,Yes,1463504,790,Intermediate,Medium,4,Business,3,House,20425,0.81,Avoid Loan
39,910506,23678,1210784,No,0,581,Beginner,High,5,Salaried,8,Retirement,52197,0.0,Avoid Loan
53,1466667,22070,622174,Yes,1921233,394,Beginner,Medium,1,Self-Employed,2,Retirement,100152,1.31,Avoid Loan
23,1224572,21088,1100300,Yes,1462656,381,Intermediate,Medium,5,Self-Employed,11,Education,80959,1.19,Avoid Loan
34,2223908,150849,1274298,Yes,1897543,496,Intermediate,High,2,Salaried,0,Wealth Creation,34476,0.85,Avoid Loan
24,301473,17699,171545,Yes,423937,514,Beginner,Medium,1,Salaried,1,House,7423,1.41,Avoid Loan
48,1644571,43904,1909598,No,0,493,Beginner,Low,0,Business,3,Retirement,93143,0.0,Avoid Loan
51,2201377,85858,2143033,Yes,1648564,534,Intermediate,High,2,Self-Employed,6,Retirement,97590,0.75,Avoid Loan
36,2919560,32490,1094471,Yes,2085585,701,Intermediate,High,2,Business,7,Retirement,210806,0.71,Avoid Loan
30,1068854,20784,1189816,Yes,2236584,527,Beginner,Low,4,Business,1,Education,68287,2.09,Avoid Loan
53,2652986,134029,1432285,Yes,1671825,581,Expert,Medium,5,Self-Employed,4,Wealth Creation,87053,0.63,Avoid Loan
26,2071990,79518,413753,No,0,760,Beginner,Medium,5,Business,6,Wealth Creation,93147,0.0,Invest
23,2171001,72137,1941765,Yes,118878,640,Beginner,Low,5,Self-Employed,9,Education,108779,0.05,Save
26,1328848,50769,2016540,No,0,595,Intermediate,Medium,4,Self-Employed,10,House,59968,0.0,Avoid Loan
54,451055,15791,2302267,No,0,638,Beginner,High,1,Salaried,3,Retirement,21796,0.0,Save
59,582396,26390,461262,No,0,363,Beginner,Low,0,Business,7,Education,22143,0.0,Avoid Loan
39,1711088,102827,2341261,No,0,418,Expert,High,1,Self-Employed,0,House,39763,0.0,Avoid Loan
53,1734907,106213,42548,Yes,1172584,604,Intermediate,High,4,Self-Employed,0,Education,38362,0.68,Avoid Loan
31,1649131,39790,642579,No,0,841,Expert,Low,1,Self-Employed,5,Education,97637,0.0,Save
34,1253111,60008,153690,No,0,653,Intermediate,Medium,0,Salaried,11,House,44417,0.0,Save
45,2183987,55751,1294148,Yes,697859,371,Intermediate,High,2,Salaried,11,Wealth Creation,126247,0.32,Avoid Loan
41,870744,22788,1051308,Yes,2331424,355,Intermediate,High,3,Self-Employed,11,Education,49774,2.68,Avoid Loan
46,686955,51162,1412004,Yes,1612807,533,Intermediate,High,4,Business,2,Wealth Creation,6084,2.35,Avoid Loan
55,1424982,38188,1050986,No,0,730,Expert,Low,3,Salaried,7,House,80560,0.0,Invest
35,1950142,15145,1390558,No,0,390,Intermediate,Low,0,Business,9,Education,147366,0.0,Avoid Loan
24,2061755,54308,1704794,Yes,873812,895,Intermediate,Low,3,Salaried,1,Retirement,117504,0.42,Save
27,1681774,109638,1725959,No,0,515,Beginner,Low,5,Self-Employed,3,Wealth Creation,30509,0.0,Avoid Loan
24,2221991,98742,1013826,Yes,1449797,417,Beginner,Medium,2,Business,1,Retirement,86423,0.65,Avoid Loan
33,2602741,175096,1871478,No,0,803,Beginner,Medium,4,Business,6,House,41799,0.0,Invest
48,2127680,128162,2016815,No,0,878,Expert,Low,5,Business,4,Retirement,49144,0.0,Save
36,2533066,129232,608387,Yes,2291979,501,Expert,Low,0,Self-Employed,0,Wealth Creation,81856,0.9,Avoid Loan
46,338904,15147,292080,Yes,829860,415,Beginner,Medium,4,Business,0,Education,13095,2.45,Avoid Loan
36,615213,15100,2347489,Yes,2406470,419,Beginner,High,3,Salaried,4,House,36167,3.91,Avoid Loan
34,645467,46576,1454216,Yes,2305558,663,Beginner,Low,5,Business,9,Education,7212,3.57,Avoid Loan
31,428271,21457,239493,Yes,1083576,626,Beginner,Medium,3,Salaried,9,House,14232,2.53,Avoid Loan
37,1020767,58458,2150421,Yes,349835,676,Intermediate,Medium,4,Salaried,3,Education,26605,0.34,Save
47,1082258,72805,1872341,Yes,1503403,473,Intermediate,Low,0,Business,7,Education,17383,1.39,Avoid Loan
54,332681,18997,264192,No,0,727,Expert,Medium,5,Salaried,4,House,8726,0.0,Save
45,345804,17828,1928340,Yes,2319789,502,Expert,Medium,3,Self-Employed,10,Retirement,10989,6.71,Avoid Loan
60,2618247,62664,1261573,No,0,702,Intermediate,Low,3,Business,6,Wealth Creation,155523,0.0,Save
46,1156363,74585,907560,Yes,920970,453,Intermediate,High,1,Business,12,Wealth Creation,21778,0.8,Avoid Loan
54,2710704,81688,855702,Yes,976511,758,Expert,Low,0,Self-Employed,8,Education,144204,0.36,Save
57,1731521,62558,700808,No,0,862,Intermediate,Low,5,Salaried,6,Education,81735,0.0,Invest
50,381967,26802,49749,No,0,750,Beginner,Low,0,Salaried,3,Wealth Creation,5028,0.0,Avoid Loan
48,1195118,51361,1547449,No,0,720,Intermediate,Medium,4,Self-Employed,10,Retirement,48232,0.0,Invest
22,1031018,38066,1630303,Yes,2359782,661,Expert,Low,2,Self-Employed,1,Retirement,47852,2.29,Avoid Loan
47,479745,22923,1353292,No,0,364,Beginner,High,1,Salaried,5,Retirement,17055,0.0,Avoid Loan
45,577869,39288,999031,No,0,595,Expert,High,3,Self-Employed,7,Retirement,8867,0.0,Avoid Loan
54,349278,21140,871726,Yes,1123347,649,Beginner,Low,0,Business,2,Wealth Creation,7966,3.22,Avoid Loan
36,846262,44043,1310681,Yes,1527004,604,Expert,Low,1,Self-Employed,0,House,26478,1.8,Avoid Loan
50,1621801,67229,1325870,No,0,839,Intermediate,Medium,3,Self-Employed,4,Education,67921,0.0,Save
23,277610,17231,2294054,No,0,416,Intermediate,Medium,1,Salaried,6,Wealth Creation,5903,0.0,Avoid Loan
52,860978,49480,1858007,No,0,403,Expert,Low,4,Self-Employed,9,House,22268,0.0,Avoid Loan
24,2119275,78449,2050487,Yes,208246,856,Expert,High,4,Business,1,Education,98157,0.1,Save
44,1667781,64212,1230168,Yes,539378,449,Intermediate,High,2,Salaried,6,House,74769,0.32,Avoid Loan
55,545691,34469,346509,Yes,852033,370,Beginner,Medium,0,Self-Employed,3,Wealth Creation,11005,1.56,Avoid Loan
22,2483006,152521,749767,Yes,1192226,354,Intermediate,Medium,3,Business,7,Education,54396,0.48,Avoid Loan
44,2078388,145702,701573,Yes,760536,413,Intermediate,Low,5,Salaried,0,House,27497,0.37,Avoid Loan
29,752326,51823,1122320,Yes,1892921,719,Expert,Medium,2,Self-Employed,2,House,10870,2.52,Avoid Loan
53,1190512,30121,1319321,No,0,772,Intermediate,Low,1,Salaried,7,Wealth Creation,69088,0.0,Invest
42,2332648,75568,2295266,No,0,624,Expert,High,4,Self-Employed,3,Wealth Creation,118819,0.0,Save
43,427132,19562,1830232,No,0,807,Expert,Medium,0,Self-Employed,2,Wealth Creation,16032,0.0,Save
39,2719892,81419,1437102,No,0,667,Beginner,Medium,4,Self-Employed,6,Retirement,145238,0.0,Save
54,2022458,32115,670750,No,0,863,Beginner,High,1,Salaried,7,House,136423,0.0,Invest
47,2624718,87328,2145978,Yes,196444,509,Intermediate,Low,4,Self-Employed,5,Retirement,131398,0.07,Avoid Loan
33,803563,18863,1816663,No,0,426,Beginner,Medium,5,Salaried,0,Wealth Creation,48100,0.0,Avoid Loan
33,2975810,70808,2027229,Yes,2009952,648,Beginner,Medium,1,Self-Employed,7,House,177176,0.68,Avoid Loan
37,1374139,38217,1734103,Yes,1268118,722,Intermediate,Low,5,Self-Employed,8,Retirement,76294,0.92,Avoid Loan
58,1504200,98553,1441295,Yes,1051404,728,Expert,Low,3,Self-Employed,4,House,26797,0.7,Avoid Loan
35,1192062,40493,1611276,Yes,2437247,633,Intermediate,Medium,5,Salaried,8,Retirement,58845,2.04,Avoid Loan
30,2503628,84033,670919,No,0,673,Beginner,Medium,2,Salaried,4,House,124602,0.0,Save
56,1738406,34056,1897650,No,0,877,Expert,Medium,2,Business,6,House,110811,0.0,Invest
59,2080233,131598,199482,No,0,771,Intermediate,High,4,Self-Employed,8,House,41754,0.0,Save
54,1321848,52315,239228,Yes,443171,624,Beginner,Low,3,Business,8,House,57839,0.34,Save
26,2463674,30861,2001711,Yes,570552,616,Beginner,Medium,0,Self-Employed,0,Wealth Creation,174445,0.23,Save
60,2711022,29451,162701,Yes,70821,783,Beginner,Low,4,Business,1,Retirement,196467,0.03,Save
39,2198658,74670,1486175,No,0,386,Expert,Low,1,Salaried,11,House,108551,0.0,Avoid Loan
35,593847,34313,2183368,Yes,2475337,817,Expert,Medium,0,Salaried,5,Education,15174,4.17,Avoid Loan
41,1812184,54602,868737,No,0,749,Expert,Medium,1,Salaried,2,House,96413,0.0,Save
53,616185,32481,362564,Yes,368734,652,Intermediate,Low,5,Self-Employed,11,Retirement,18867,0.6,Avoid Loan
38,1237607,48058,778160,Yes,653491,482,Beginner,Low,4,Self-Employed,10,Retirement,55075,0.53,Avoid Loan
41,1755411,27513,2476357,Yes,2272944,801,Expert,Low,5,Business,8,House,118771,1.29,Avoid Loan
39,1949032,117486,519003,Yes,360800,833,Intermediate,Low,4,Business,9,Retirement,44933,0.19,Invest
27,1094050,57213,274314,Yes,1269917,535,Intermediate,High,0,Business,8,Retirement,33957,1.16,Avoid Loan
44,2256372,114300,1539011,No,0,478,Intermediate,High,0,Business,4,Wealth Creation,73731,0.0,Avoid Loan
37,329640,20521,764981,No,0,524,Expert,Low,3,Self-Employed,11,Retirement,6949,0.0,Avoid Loan
40,2491087,128860,1799143,No,0,470,Expert,Medium,4,Business,10,Retirement,78730,0.0,Avoid Loan
49,2282182,61504,2054649,No,0,675,Expert,Low,1,Salaried,4,Retirement,128677,0.0,Save
41,1502018,61558,520293,Yes,2075775,369,Intermediate,Low,3,Salaried,4,Retirement,63610,1.38,Avoid Loan
38,925825,55729,891432,No,0,537,Intermediate,Medium,1,Salaried,7,Education,21423,0.0,Avoid Loan
52,1237435,31665,2377377,Yes,1080302,655,Intermediate,Medium,4,Self-Employed,2,Wealth Creation,71454,0.87,Avoid Loan
38,2255924,112519,2169038,Yes,1756000,756,Beginner,High,0,Business,6,Education,75474,0.78,Avoid Loan
29,302954,15124,1632117,No,0,577,Intermediate,High,1,Business,6,Education,10122,0.0,Avoid Loan
28,1266391,73873,2057518,No,0,617,Beginner,Low,2,Salaried,2,House,31659,0.0,Save
57,2961243,100673,1354255,No,0,543,Expert,Medium,3,Self-Employed,8,House,146097,0.0,Avoid Loan
22,2765875,145647,2292686,No,0,697,Intermediate,High,2,Self-Employed,4,Retirement,84842,0.0,Save
37,1694760,96624,1451971,Yes,270869,644,Intermediate,Medium,5,Business,4,Wealth Creation,44606,0.16,Save
29,2634263,100885,2230875,No,0,592,Intermediate,Low,1,Salaried,1,House,118636,0.0,Avoid Loan
30,1338798,33974,1650883,Yes,2139299,885,Intermediate,Low,5,Salaried,4,House,77592,1.6,Avoid Loan
57,2428849,135558,143847,Yes,124129,802,Intermediate,Low,4,Self-Employed,5,House,66846,0.05,Save
53,1180751,40407,142215,Yes,139160,895,Intermediate,Low,5,Business,12,Retirement,57988,0.12,Save
33,1869477,101663,797289,No,0,888,Beginner,Medium,4,Business,1,House,54126,0.0,Save
57,849299,44051,1629507,Yes,516712,476,Intermediate,Low,2,Salaried,4,Wealth Creation,26723,0.61,Avoid Loan
36,2502716,36804,512093,Yes,2461916,415,Intermediate,Low,1,Business,4,Retirement,171755,0.98,Avoid Loan
57,2447308,28942,551582,Yes,1360387,799,Intermediate,Medium,0,Business,2,Wealth Creation,175000,0.56,Avoid Loan
28,629999,47127,2253403,No,0,642,Beginner,Medium,5,Business,9,House,5372,0.0,Save
43,2713498,154141,1691371,Yes,1505562,540,Intermediate,Medium,4,Business,5,Wealth Creation,71983,0.55,Avoid Loan
39,604599,19037,88393,Yes,1981499,559,Beginner,Medium,2,Self-Employed,5,Wealth Creation,31346,3.28,Avoid Loan
41,276285,20549,206570,No,0,761,Expert,High,0,Salaried,9,Education,2474,0.0,Save
31,759969,47389,663159,No,0,357,Beginner,Low,5,Business,2,Retirement,15941,0.0,Avoid Loan
47,982685,23034,1625076,Yes,951078,416,Expert,High,5,Business,10,Education,58856,0.97,Avoid Loan
41,1320098,46620,2493380,No,0,633,Beginner,Medium,5,Self-Employed,8,Retirement,63388,0.0,Save
44,2916880,64572,1889455,Yes,2165168,823,Intermediate,Low,1,Self-Employed,4,House,178501,0.74,Avoid Loan
48,2594442,15679,1987689,Yes,1848153,798,Expert,High,3,Salaried,1,House,200524,0.71,Avoid Loan
24,2519969,19764,1376359,Yes,2077287,885,Beginner,Medium,5,Self-Employed,7,Wealth Creation,190233,0.82,Avoid Loan
58,725436,36890,1939669,No,0,614,Intermediate,Medium,4,Salaried,2,House,23563,0.0,Save
42,510139,18803,726447,No,0,538,Expert,High,4,Business,12,House,23708,0.0,Avoid Loan
25,2627120,20879,542164,No,0,536,Intermediate,Low,0,Business,5,House,198047,0.0,Avoid Loan
45,1460078,74333,2398075,Yes,1170330,648,Expert,Low,1,Self-Employed,8,Retirement,47340,0.8,Avoid Loan
34,2537405,89648,895907,No,0,596,Intermediate,Low,2,Salaried,6,Retirement,121802,0.0,Avoid Loan
21,1840409,121583,1616214,Yes,1196184,806,Intermediate,Medium,2,Business,12,Retirement,31784,0.65,Avoid Loan
43,862193,52354,213193,Yes,1649189,854,Beginner,Low,1,Salaried,9,Education,19495,1.91,Avoid Loan
54,1004835,35408,514109,Yes,1401131,683,Beginner,Low,3,Salaried,12,Retirement,48328,1.39,Avoid Loan
37,1988350,88460,2295618,No,0,517,Intermediate,High,2,Business,9,House,77235,0.0,Avoid Loan
44,2389523,166677,2237290,No,0,394,Beginner,Low,1,Salaried,8,Education,32449,0.0,Avoid Loan
48,2751992,52025,1307705,No,0,733,Intermediate,Low,4,Self-Employed,0,Education,177307,0.0,Save
58,1574801,69432,272593,No,0,604,Beginner,Low,2,Self-Employed,0,Education,61801,0.0,Save
32,464297,22460,663150,Yes,2016116,848,Intermediate,Low,2,Self-Employed,7,House,16231,4.34,Avoid Loan
54,327862,17997,1853035,Yes,214098,435,Intermediate,Medium,2,Salaried,8,House,9324,0.65,Avoid Loan
29,2613625,126174,632487,Yes,283626,424,Beginner,Low,5,Business,12,Wealth Creation,91628,0.11,Avoid Loan
35,1637565,65112,849562,No,0,386,Intermediate,Medium,0,Business,5,Retirement,71351,0.0,Avoid Loan
37,1713569,36832,2470082,No,0,502,Expert,Low,4,Self-Employed,5,Education,105965,0.0,Avoid Loan
27,2200979,124825,82306,No,0,468,Intermediate,Low,5,Self-Employed,9,Retirement,58589,0.0,Avoid Loan
54,690095,21423,134809,No,0,750,Intermediate,Low,0,Business,6,Education,36084,0.0,Save
35,282617,16420,1508765,Yes,62317,393,Beginner,Medium,3,Business,9,Education,7131,0.22,Avoid Loan
34,2858514,99341,2282641,Yes,1421001,730,Beginner,High,2,Business,2,Education,138868,0.5,Avoid Loan
47,2108138,97104,537268,Yes,2005305,781,Expert,Low,1,Self-Employed,0,Retirement,78574,0.95,Avoid Loan
33,1204511,41532,581799,No,0,672,Beginner,High,1,Salaried,8,Wealth Creation,58843,0.0,Save
51,2446854,115500,654917,Yes,870798,669,Beginner,Medium,0,Salaried,2,Wealth Creation,88404,0.36,Save
33,1963157,34435,409695,Yes,927337,438,Intermediate,Medium,1,Business,7,Retirement,129161,0.47,Avoid Loan
42,2135732,48520,558083,No,0,816,Beginner,High,0,Salaried,5,Wealth Creation,129457,0.0,Save
56,691530,18985,2034488,No,0,761,Expert,Low,1,Self-Employed,3,Retirement,38642,0.0,Save
30,1772916,89427,2387197,Yes,1265439,863,Beginner,High,0,Salaried,1,Wealth Creation,58316,0.71,Avoid Loan
42,473817,25448,643632,Yes,2202016,521,Expert,Low,5,Salaried,11,Education,14036,4.65,Avoid Loan
56,479293,28889,328397,Yes,445685,410,Expert,Medium,2,Salaried,12,Retirement,11052,0.93,Avoid Loan
38,1797382,49093,2449780,No,0,620,Beginner,Low,4,Business,9,Education,100688,0.0,Save
39,2089737,31926,774196,No,0,797,Beginner,Medium,2,Salaried,8,Retirement,142218,0.0,Invest
33,2964119,169811,1421575,No,0,711,Beginner,High,5,Salaried,3,Education,77198,0.0,Save
34,941196,31079,2065596,No,0,528,Expert,Low,5,Salaried,10,Retirement,47354,0.0,Avoid Loan
38,1438178,60359,1042979,No,0,850,Beginner,Low,0,Self-Employed,3,Wealth Creation,59489,0.0,Save
54,2707316,20355,1429537,Yes,2251509,893,Intermediate,Low,3,Salaried,12,Education,205254,0.83,Avoid Loan
48,2427682,99809,1946119,Yes,2372788,678,Expert,Medium,5,Business,10,Retirement,102497,0.98,Avoid Loan
35,1420061,20765,1694810,Yes,1198536,799,Beginner,Low,5,Business,0,Retirement,97573,0.84,Avoid Loan
27,697235,36804,1478988,Yes,751383,609,Expert,Medium,0,Salaried,5,Retirement,21298,1.08,Avoid Loan
43,2509878,135284,1730535,Yes,1766424,379,Beginner,High,1,Self-Employed,8,Education,73872,0.7,Avoid Loan
54,1533581,44231,2433351,No,0,839,Beginner,Low,4,Salaried,2,House,83567,0.0,Save
41,2738747,70009,2476507,No,0,759,Intermediate,Low,0,Business,5,House,158219,0.0,Save
32,2988120,63399,2031265,No,0,875,Expert,Low,3,Business,10,Education,185611,0.0,Invest
29,2536899,166434,2158911,No,0,611,Beginner,Low,4,Business,10,Education,44974,0.0,Save
48,2859262,137418,647810,No,0,747,Expert,High,4,Business,12,Education,100853,0.0,Invest
23,2334929,107555,1038453,No,0,831,Beginner,Medium,4,Business,8,Education,87022,0.0,Invest
45,2947284,28203,1545049,No,0,377,Expert,Low,3,Self-Employed,9,Retirement,217404,0.0,Avoid Loan
49,917827,53139,2079432,Yes,461917,551,Beginner,Medium,1,Salaried,4,Wealth Creation,23346,0.5,Avoid Loan
29,616717,26924,612774,No,0,468,Intermediate,Low,2,Self-Employed,10,House,24469,0.0,Avoid Loan
55,934260,37725,530905,Yes,509410,635,Beginner,High,2,Salaried,12,Education,40130,0.55,Avoid Loan
